"GeneName"	"NAc1"	"NAc2"	"NAc3"	"NAc4"	"DG1"	"DG2"	"DG3"	"DG4"
"Lhx6"	1.55019308122607	1.73624684621992	1.47873162777039	1.54013785569384	-0.267539113535743	-0.156044217800454	-0.133994965411244	-0.308077997685453
"Htr1b"	1.39148432253898	1.73980624057546	1.35212455636715	1.46152171040852	-0.709527418515439	-1.01371214800292	-0.435982932785232	-0.821467682749181
"Shh"	1.50398480037274	1.87497364352922	1.36725839749352	1.53767269849164	-0.253451571063362	-0.308162647916918	-0.615598123751099	-0.204165180985934
"Prrt4"	1.50382020681441	1.1403963624934	1.83177790069495	1.68892047534787	-0.680399912476835	-0.622017965890045	-0.763848882820296	-0.662452852689579
"Slc17a8"	1.67322039717744	1.76707234314489	0.908764813147512	1.77736592867918	-1.02329591134404	-1.02436236308491	-0.594321043650729	-1.08531217013007
"LOC103690149"	1.93931483705053	0.575859474955527	1.2292567201194	2.35329777051707	-0.599086962355078	-0.443172560718249	-0.43977044410468	-0.601750713850115
"Baiap3"	1.40970884626424	0.979554849287129	2.1349509939535	1.51124971061399	-0.383104236743463	-0.214894322107208	-0.071731450365584	-0.514070553362475
"Asic1"	1.55189522594979	1.15939954878055	1.57678943420118	1.67683097416222	-0.329017642102231	-0.38601383808232	-0.630846679911898	-0.305681306053554
"Plppr1"	1.16327352204327	1.52168501534252	1.93431967634741	1.23498012133816	-0.908389661874674	-0.901691567628887	-0.995805912788566	-0.857651745903166
"Pde8b"	1.37010671644512	1.62342387365495	1.48965720236211	1.47664913812977	-0.0764884605965625	-0.28274043842912	-1.02161854902046	0.201210253295246
"Alk"	1.23752949659232	1.6562064758959	1.89120678540559	1.18220775461671	-0.368967352387032	-0.310549533120653	-0.315053419008975	-0.433751394498444
"Ryr1"	0.824600331193965	2.34946304885879	1.91239817651188	0.701622488246985	-0.318979110187198	-0.60313054143604	-0.779429405790097	-0.142886746720964
"Mctp1"	1.14110690410183	1.75347598414029	1.69276996762963	1.19570906431561	-0.92158942567513	-0.941182037727981	-0.96029601789118	-0.899344789411317
"Mc4r"	0.889300014377444	2.13435215544287	2.3279913517521	0.767915456932289	-0.502138202420473	-0.373265575704976	-0.369898836427111	-0.571086458053698
"Tac3"	1.09381013444841	2.45562396865505	1.34882890952331	0.923932523579462	0.0594225011601145	-0.209025947170015	-0.681015852270027	0.284625084495417
"AABR07044442.1"	1.31323478212394	1.39566738506311	1.99613562958114	1.4245081950574	-0.537191504122339	-0.610298848047226	-0.394843921114883	-0.609839496299718
"AABR07047586.1"	1.28514600149261	1.22262123321972	2.26303540143419	1.30864375141169	-0.681198500097212	-0.681835205609226	-0.833779961444373	-0.681671464450156
"Trpc7"	1.80268397643771	0.801210489793496	1.30086169335128	1.98730740690557	-0.815578801173519	-0.566490520141638	-0.337259828514817	-0.917972717388307
"Sertad4"	1.14384382079249	2.02786572914626	1.45730860372882	1.1636847701584	-0.485156096849308	-0.715590321186322	-1.11407855539459	-0.266500955920795
"Pgr15l"	1.36119513441728	1.0699117895552	2.62439997486811	1.15641428272527	-0.553088530212606	-0.3553454836716	-0.75260612249374	-0.354917381253086
"AABR07070312.1"	1.49712426082243	1.32820472937272	1.83452864575307	1.53521590090332	-0.971963781402003	-1.03502198282272	-0.365934067201839	-1.09496253587978
"Oprk1"	1.33642852650734	1.06448317125066	2.15887760911367	1.37238423023489	-0.691169557144569	-0.63154720527262	-0.778056041098633	-0.683245054812081
"Has3"	0.861018769249381	2.26121803326054	1.87717107746188	0.75685555665168	-0.45203245971763	-0.39763789129332	-0.538989698015506	-0.483211745757376
"Slc10a4"	1.57700349535984	1.98040644432244	0.880426114723888	1.61595639710362	-0.673107959151547	-0.69073297906339	-0.776170780641579	-0.644897651330985
"Lhfpl1"	1.46619115864961	1.12933665295301	1.83502096024669	1.63009034542365	-0.75478163138384	-0.755997951150551	-0.987998906109083	-0.755685150955417
"Cdhr1"	0.820399087888978	2.64377005858211	1.33941091143061	0.706077978229876	-0.422957364472708	-0.395398719281329	-0.344089768294865	-0.48377090031078
"Dysf"	1.38671504315563	1.35446674537755	1.87085778438676	1.4955140702374	0.0638675005801735	-0.0634383008366792	0.124556608168997	-0.000999778189443588
