"digit","M_connections","Time","Accuracy.FF","Accuracy.baseline","release.probability"
0,5,80,91.79,90.2,1
3,5,10,91.37,89.9,0.75
3,5,20,92.76,89.9,1
2,5,10,92.8666666666667,89.68,0.5
6,5,40,95.55,90.42,1
2,5,10,90.5566666666667,89.68,0.5
3,5,50,93.5,89.9,1
2,5,20,91.49,89.68,1
3,5,10,91.81,89.9,1
7,5,30,94.68,89.72,1
3,5,20,90.74,89.9,0.5
7,5,30,90.2966666666667,89.72,0.5
0,5,10,91.61,90.2,1
6,5,80,93.69,90.42,1
2,5,10,90.94,89.68,1
2,5,30,94.52,89.68,1
3,5,10,91.64,89.9,1
4,5,30,91.83,90.18,0.5
9,5,40,92.5,89.91,1
4,5,30,91.47,90.18,1
9,5,40,92.13,89.91,1
7,5,80,93.42,89.72,1
7,5,10,92.3233333333333,89.72,0.5
3,5,30,93.32,89.9,1
7,5,30,90.56,89.72,1
7,5,20,91.44,89.72,1
2,5,40,95.39,89.68,1
0,5,20,91.97,90.2,1
4,5,20,91.6933333333333,90.18,0.5
4,5,40,93.13,90.18,1
3,5,20,91.7066666666667,89.9,0.5
7,5,10,93.54,89.72,1
2,5,50,94.51,89.68,1
3,5,40,93.41,89.9,1
2,5,40,94.49,89.68,1
7,5,10,91.34,89.72,0.5
7,5,30,93.53,89.72,0.5
2,5,20,90.7266666666667,89.68,0.5
4,5,10,91.84,90.18,1
0,5,40,92.86,90.2,1
4,5,50,92.75,90.18,1
3,5,30,90.8366666666667,89.9,0.5
6,5,40,95.43,90.42,1
3,5,40,93.99,89.9,1
3,5,10,89.9,89.9,1
2,5,10,92.0066666666667,89.68,0.5
1,5,40,92.96,88.65,1
7,5,100,93.02,89.72,1
4,5,20,92.18,90.18,1
2,5,30,94.85,89.68,1
2,5,10,92.85,89.68,0.5
0,5,40,93.64,90.2,1
7,5,30,92.7466666666667,89.72,0.5
9,5,30,91.64,89.91,1
7,5,60,95.1,89.72,1
5,5,60,92.73,91.08,1
2,5,30,95.07,89.68,1
3,5,30,89.95,89.9,1
9,5,10,90.5,89.91,1
7,5,10,90.7,89.72,1
0,5,100,91.16,90.2,1
2,5,20,90.66,89.68,1
3,5,30,93.06,89.9,1
7,5,30,91.54,89.72,1
4,5,30,90.77,90.18,1
3,5,40,93.97,89.9,1
2,5,20,91.0633333333333,89.68,0.5
8,5,30,91.2,90.26,1
2,5,10,90.54,89.68,1
6,5,20,94.32,90.42,1
2,5,10,90.1833333333333,89.68,0.5
0,5,20,92.3,90.2,1
7,5,40,95.03,89.72,1
4,5,10,90.7766666666667,90.18,0.5
7,5,40,95.03,89.72,1
3,5,30,92.6266666666667,89.9,0.5
2,5,30,90.7566666666667,89.68,0.5
9,5,40,91.69,89.91,1
9,5,40,92.3,89.91,1
4,5,20,91.76,90.18,0.5
4,5,10,90.76,90.18,0.5
4,5,20,92.93,90.18,1
9,5,30,92.07,89.91,1
2,5,20,91.39,89.68,1
5,5,10,91.12,91.08,1
0,5,30,92.63,90.2,1
8,5,80,91.02,90.26,1
3,5,20,90.69,89.9,1
3,5,50,93.7,89.9,1
4,5,30,90.25,90.18,1
4,5,30,90.1833333333333,90.18,0.5
4,5,30,90.28,90.18,0.5
3,5,30,93.14,89.9,1
6,5,20,94.07,90.42,1
3,5,30,93.33,89.9,1
4,5,20,90.3066666666667,90.18,0.5
1,5,80,94.89,88.65,1
5,5,20,91.74,91.08,1
4,5,40,92.48,90.18,1
3,5,80,92.7,89.9,1
5,5,60,91.52,91.08,0.25
4,5,30,93.19,90.18,1
7,5,30,89.82,89.72,1
6,5,30,94.2,90.42,1
9,5,20,90.99,89.91,1
2,5,10,94.04,89.68,1
0,5,80,91.84,90.2,1
5,5,60,92.81,91.08,1
0,5,80,91.57,90.2,1
2,5,40,94.4,89.68,1
2,5,20,91.64,89.68,0.5
4,5,20,92.82,90.18,1
2,5,20,94.72,89.68,1
3,5,30,90.69,89.9,0.5
5,5,40,92.63,91.08,1
7,5,10,94.06,89.72,1
3,5,50,93.67,89.9,1
6,5,60,94.24,90.42,1
2,5,30,90.06,89.68,1
6,5,60,94.15,90.42,1
3,5,10,91.26,89.9,1
0,5,50,93.48,90.2,1
8,5,10,90.62,90.26,1
8,5,50,90.26,90.26,1
5,5,60,92.65,91.08,1
3,5,50,93.76,89.9,1
3,5,30,89.93,89.9,1
2,5,10,92.7133333333333,89.68,0.5
